timestamp,srcip,dstip,sport,dsport,proto,length
1747810193.534685,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,158
1747810193.534961,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,602
1747810193.709278,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,c017513cfb0dfa4534766177e683698121721f7562a9f0dc6b1e812a7c0edd8b,45978,443,TCP,646
1747810193.713298,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,c017513cfb0dfa4534766177e683698121721f7562a9f0dc6b1e812a7c0edd8b,45978,443,TCP,97
1747810193.757454,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,47730,TCP,66
1747810193.839674,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,47730,TCP,121
1747810193.839675,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,47730,TCP,110
1747810193.839675,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,47730,TCP,138
1747810193.839743,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,66
1747810193.839934,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,97
1747810193.839947,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,101
1747810193.949367,c017513cfb0dfa4534766177e683698121721f7562a9f0dc6b1e812a7c0edd8b,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,45978,TCP,317
1747810193.949368,c017513cfb0dfa4534766177e683698121721f7562a9f0dc6b1e812a7c0edd8b,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,45978,TCP,101
1747810193.949395,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,c017513cfb0dfa4534766177e683698121721f7562a9f0dc6b1e812a7c0edd8b,45978,443,TCP,66
1747810193.949407,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,c017513cfb0dfa4534766177e683698121721f7562a9f0dc6b1e812a7c0edd8b,45978,443,TCP,66
1747810194.004026,c017513cfb0dfa4534766177e683698121721f7562a9f0dc6b1e812a7c0edd8b,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,45978,TCP,66
1747810194.08703,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,47730,TCP,66
1747810194.665879,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,45012,53,UDP,76
1747810194.67785,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,53,45012,UDP,92
1747810194.677917,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,55816,53,UDP,76
1747810194.688918,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,53,55816,UDP,104
1747810195.118636,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,58414,53,UDP,74
1747810195.118648,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,58414,53,UDP,74
1747810195.158107,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,53,58414,UDP,249
1747810195.158946,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,53,58414,UDP,206
1747810195.159371,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d2afdf90313e44c46512f3b5744ba6b26e8457c1cf7b13b366b5c6b341dd7fea,45908,443,TCP,74
1747810195.305739,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,38836,443,TCP,1326
1747810195.30681,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d3d551da594599ddabe4dd8c0e34ac180ddb76cf3927ad48aa491c629f714f79,38836,443,TCP,97
1747810195.410326,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,b16cd10442c25771c3bd69ebbb667f622db24f36ca7cacd7aaff0a596b4ae2df,43388,443,TCP,74
1747810195.548699,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,425
1747810195.549511,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,97
